message,post_fb_url,page_name,username,page_id,page_cateogry,topadmin_country,page_description,page_created,page_likes,page_followers,created_date,created_date_edt,created_time,type,total_interaction,nb_likes,nb_comments,nb_shares,nb_love,nb_wow,nb_haha,nb_sad,nb_angry,nb_care,video_share_status,video_owner,video_post_view,video_total_view,video_total_view_crossposts,video_length,,,link,final_link,image_text,link_text,description,Results
"In 1985 the Detroit Lions celebrated the 50th anniversary of their first championship with a party called “The Golden Huddle.” Radio man Tom Eurich covered the event in great detail and is in studio to talk with Jamie and Charles about the many things he learned before, during and since. The first of a series of appearances by Mr. Eurich. https://linktr.ee/DetroitCityofChampions",https://www.facebook.com/925513024157131/posts/4594731730568557,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3895.0,4527.0,2020-10-25 10:24:45 EDT,2020-10-25,10:24:45,Live Video Scheduled,1,0,0,0,1,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/OfficialPodcastNation/videos/2467922293513009/,,,Detroit City of Champions - The Lions - The Golden Huddle - Episode 19,,
On the show will be Tom Eurich. Tom is a sports fanatic and was instrumental in coordinating the 50th anniversary of the 1935 Lions. He has tons of stories and we will share the first couple tonight.,https://www.facebook.com/925513024157131/posts/1032139480571133,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3885.0,4504.0,2020-10-15 17:59:27 EDT,2020-10-15,17:59:27,Live Video Complete,2,1,1,0,0,0,0,0,0,0,owned,Yes,28,28,0,01:08:58,,,https://www.facebook.com/OfficialPodcastNation/videos/1032139480571133/,,,Detroit City of Champions - Guest Tom Eurich - Episode 17,,
The Sneaker Box Radio Show live 10-22-2020,https://www.facebook.com/925513024157131/posts/830263681080802,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3893.0,4524.0,2020-10-22 19:23:36 EDT,2020-10-22,19:23:36,Live Video Complete,1,1,0,0,0,0,0,0,0,0,crosspost,Yes,38,48,47,01:42:49,,,https://www.facebook.com/OfficialPodcastNation/videos/830263681080802/,,,The Sneaker Box Radio Show live 10-22-2020,,
,https://www.facebook.com/925513024157131/posts/266799424720983,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3903.0,4544.0,2020-10-30 16:58:18 EDT,2020-10-30,16:58:18,Live Video Complete,7,0,2,3,2,0,0,0,0,0,owned,Yes,35,39,0,01:05:58,,,https://www.facebook.com/OfficialPodcastNation/videos/266799424720983/,,,The Motor City Hypnotist - Live 10-30-20,,
On The Up And Up With B - Podcast live 10-20-2020,https://www.facebook.com/925513024157131/posts/348179659580535,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3893.0,4521.0,2020-10-20 20:03:51 EDT,2020-10-20,20:03:51,Live Video Complete,4,2,2,0,0,0,0,0,0,0,crosspost,Yes,40,44,42,00:57:36,,,https://www.facebook.com/OfficialPodcastNation/videos/348179659580535/,,,On The Up And Up With B - Podcast live 10-20-2020,,
The Real Nurses of Detroit live 10-18-2020,https://www.facebook.com/925513024157131/posts/667331364156638,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3888.0,4510.0,2020-10-18 15:35:16 EDT,2020-10-18,15:35:16,Live Video Complete,18,3,10,5,0,0,0,0,0,0,crosspost,Yes,287,516,468,01:39:42,,,https://www.facebook.com/OfficialPodcastNation/videos/667331364156638/,,,The Real Nurses of Detroit live 10-18-2020,,
On The Up And Up With B - Podcast live 10-27-2020,https://www.facebook.com/925513024157131/posts/343464646877941,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3894.0,4527.0,2020-10-27 20:01:06 EDT,2020-10-27,20:01:06,Live Video Complete,3,0,2,0,1,0,0,0,0,0,crosspost,Yes,35,111,106,00:58:36,,,https://www.facebook.com/OfficialPodcastNation/videos/343464646877941/,,,On The Up And Up With B - Podcast live 10-27-2020,,
Motor City Hypnotist Live 10-9-20,https://www.facebook.com/925513024157131/posts/4523970640978000,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3878.0,4484.0,2020-10-09 13:41:51 EDT,2020-10-09,13:41:51,Live Video Scheduled,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/OfficialPodcastNation/videos/700056754227083/,,,Motor City Hypnotist Live 10-9-20,,
Breaking Down the Ring live 10-18-2020,https://www.facebook.com/925513024157131/posts/1416349985237104,Podcast Nation,OfficialPodcastNation,100056657060974,BROADCASTING_MEDIA_PRODUCTION,US,"Podcast Nation is a full service, end-to-end podcasting and distribution company, for consumers and ",2015-06-13 18:46:03,3888.0,4510.0,2020-10-18 11:16:03 EDT,2020-10-18,11:16:03,Live Video Complete,2,1,1,0,0,0,0,0,0,0,crosspost,Yes,30,125,123,01:32:29,,,https://www.facebook.com/OfficialPodcastNation/videos/1416349985237104/,,,Breaking Down the Ring live 10-18-2020,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas Central Railroad & Infrastructure, the company planning to build a high-speed rail line connecting Houston and the Dallas-Fort Worth Metroplex, has purchased 33 separate properties along the proposed route in Limestone, Freestone and Navarro counties since December 2019. Read more here: https://www.fairfield-recorder.com/news/texas-central-purhcases-bi-stone-properties-rail-project",https://www.facebook.com/213344666382/posts/10158925266841383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5065.0,5221.0,2020-10-01 16:52:50 EDT,2020-10-01,16:52:50,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.fairfield-recorder.com/news/texas-central-purhcases-bi-stone-properties-rail-project,,,Texas Central purhcases Bi-Stone properties for rail project,"Texas Central Railroad & Infrastructure, the company planning to build a high-speed rail line connecting Houston and the Dallas-Fort Worth Metroplex, has purchased 33 separate properties along the proposed route in Limestone, Freestone and Navarro counties totaling $3,374,718 in appraised value sinc...",1
"Best Dressed Cowboys and Cowgirls for the Freestone County Fair must fill out an entry form for the parade by the deadline on Friday, June 10.",https://www.facebook.com/213344666382/posts/10160251115161383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5493.0,5840.0,2022-06-09 17:02:59 EDT,2022-06-09,17:02:59,Photo,6,6,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/203816226324485/photos/a.722494381123331/5341310885908301/?type=3,,,Freestone County Fair  Parade & Entertainment,"Just a reminder....
Best Dressed Cowboys & Cowgirls must fill out an entry form for the parade and have it turned in by the Friday deadline !",
"The Fairfield FFA won the Reserve Champion Ag Mechanics banner with their 12 foot smoker trailer. Pictured are Cade Nelson, Makayla Van, Tristyn Rogers, Nichols Salazar, and Ruger Long.",https://www.facebook.com/213344666382/posts/10160257591756383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5497.0,5846.0,2022-06-13 15:25:27 EDT,2022-06-13,15:25:27,Photo,68,47,2,1,18,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160257588751383/?type=3,,,,,
"FHS Eagle Beat's Jordan Maciel has the lowdown on all of the FHS Homecoming activities that have been ongoing this week. Read her story, and more of FHS Eagle Beat, here: https://fhseaglebeat.com/2369/feature/homecoming-festivities-to-continue-despite-cancelled-game/#modal-photo",https://www.facebook.com/213344666382/posts/10158999106261383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5074.0,5231.0,2020-10-29 16:00:13 EDT,2020-10-29,16:00:13,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://fhseaglebeat.com/2369/feature/homecoming-festivities-to-continue-despite-cancelled-game/#modal-photo,,,Homecoming Festivities to Continue Despite Cancelled Game,Homecoming spirit week and crowning will still take place although the game has been cancelled again. The game was rescheduled for Saturday October 31 after Fairfield team had to quarantine. Kemp has now cancelled due to their team’s quarantine. The game has not been rescheduled as of now. The stu...,
"In the team’s return to the field, the Fairfield Eagles’ varsity football squad was victorious in Eustace tonight, winning a 27-6 contest behind a dominant defense.",https://www.facebook.com/213344666382/posts/10158961567091383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5069.0,5226.0,2020-10-14 21:57:02 EDT,2020-10-14,21:57:02,Status,22,18,0,3,1,0,0,0,0,0,,-,0,0,0,,,,,,,,,
Suspect has been captured!,https://www.facebook.com/213344666382/posts/10160238772631383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5491.0,5837.0,2022-06-02 23:33:33 EDT,2022-06-02,23:33:33,Link,23,12,1,4,5,1,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/100064746787220/posts/pfbid02NadED1wNHpUAX66CQ2p29EBzrQdFZcPTRf6a7AF2zh6neSD6EadupVivgnovkz6El/,,,This is a re-share of a post,Suspect Gonzalo Lopez is captured & deceased- more information to follow,
Important information regarding Hwy 84 this evening during the Freestone County Fair Parade.,https://www.facebook.com/213344666382/posts/10160257531011383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5497.0,5846.0,2022-06-13 14:40:48 EDT,2022-06-13,14:40:48,Photo,4,1,2,1,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/photo.php?fbid=385208500309315&set=a.220921346738032&type=3,,Lake Fairfield Fai 45 84 Turlington Red Redake ake 75,Freestone County Sheriff's Office,"For those traveling East and West on Hwy 84 through Fairfield today - 
                    PLEASE BE ADVISED

Hwy 84, known as Commerce Street in the Fairfield city limits, will be closed during the Freestone County Parade. The parade will start at 7pm sharp and should conclude around 8:30pm.
During this time, there will be a detour route set up in order for traffic to continue moving safely.
The following information is being provided to better assist you with your travels : 
Detour for those traveling West to East:
* From Fairfield take Hwy 75 South to FM 489. Take FM 489 all the way until you get back to East Hwy 84. 
* From Teague take FM 179 all the way to Dew where it meets FM 489 at the 4-Way Stop. Take FM 489 all the way until you get back to East Hwy 84.(Unless your destination is on Hwy 75 in or towards Fairfield) 

Detour for those traveling East to West:
* From Butler/Oakwood take FM 489 and follow FM 489 all the way to the 4-Way Stop in Dew. At this point you can take Hwy 75 North toward Fairfield or you can take FM 179 from Dew to Teague.

** We recommend all semi, big trucks and trailers, and any oversized loads find a safe place to pull over or park until the main roads through Fairfield are open back up. We prefer you be in a parking lot of a hotel, restaurant, or truck stop in order for remaining traffic to continue to flow safely.

** FM 1580, known as Post Oak Road, is closed to through traffic due to bridge maintenance. This is not a detour route and you will not be able to get through. 

** Deputies will be located in Dew at the 4-Way Stop to control traffic and assist if needed.",
Miss Freestone County 2022 - Makensy Isaacs Runner-up Miss - Marissa Eppes Miss Teen Freestone County - Kenady Morris Runner-up Teen - Makenna Eppes,https://www.facebook.com/213344666382/posts/10160259721571383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5501.0,5853.0,2022-06-14 22:34:22 EDT,2022-06-14,22:34:22,Photo,179,105,21,8,45,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160259717496383/?type=3,,,,,
"Lexie Neptune, nine years of age, celebrated one year of being in remission this past weekend. Mitchell Pate with more here: https://www.fairfield-recorder.com/news/neptune-celebrates-one-year-remission",https://www.facebook.com/213344666382/posts/10158946828706383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5065.0,5220.0,2020-10-09 17:07:58 EDT,2020-10-09,17:07:58,Link,43,25,2,2,13,0,0,0,0,1,,-,0,0,0,,,,https://www.fairfield-recorder.com/news/neptune-celebrates-one-year-remission,,,Neptune celebrates one year of remission,"A celebration for nine-year-old Lexie Neptune was held on Saturday, Oct. 3 at the Freestone County Courthouse in Fairfield, as she has now been in remission for one full year.",
2022 Freestone County Fair Breeding Beef Show Grand Champion Breeding Heifer Raymie Emmons - Freestone County 4-H Reserve Champion Breeding Heifer Raymie Emmons - Freestone County 4-H Champion Breeding Heifer Sr. Showmanship Jayci Phillips - Teague FFA Reserve Breeding Heifer Sr. Showmanship Rachel Lewis - Fairfield 4-H Champion Breeding Heifer Jr. Showmanship Kameryn Thompson - Teague FFA Reserve Breeding Heifer Jr. Showmanship Ava Oakes - Freestone Community 4-H,https://www.facebook.com/213344666382/posts/10160261156616383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5509.0,5861.0,2022-06-15 21:17:20 EDT,2022-06-15,21:17:20,Photo,29,26,0,0,3,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160261156286383/?type=3,,,,,
The 2022 Freestone County market and breeding rabbit shows were held this morning at the Twisted Vines Event Center. Bryson Myers of Fairfield 4-H showed the Grand Champion pen of rabbits for the third year in a row. Heath Emmons of Wortham 4-H showed the Reserve Champion pen of rabbits. Kylee McGowan of Teague FFA showed the Grand Champion breeding rabbit. Bailee Preston of Teague FFA showed the Reserve Champion breeding rabbit. Jake White of Fairfield FFA won Champion Senior Showmanship. Karlie Paris of Teague FFA won Reserve Senior Showmanship. Kylee McGowan of Teague FFA won Junior Showmanship. Jordan McDaniel of Wortham 4-H won Reserve Junior Showmanship. Kylee McGowan of Teague FFA won the Champion Breeding Showmanship. Bailee Preston of Teague FFA won the Reserve Breeding Showmanship. Ellie Mathison of Teague FFA won the Best in County Home Grown belt buckle.,https://www.facebook.com/213344666382/posts/10160259040381383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5498.0,5849.0,2022-06-14 13:28:55 EDT,2022-06-14,13:28:55,Photo,39,33,0,0,6,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160259040176383/?type=3,,,Photos from The Fairfield Recorder's post,,
"Pick up the newest Recorder on newsstands beginning tomorrow, featuring the best in local news, sports and Election previews!",https://www.facebook.com/213344666382/posts/10158996614051383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5071.0,5228.0,2020-10-28 15:30:37 EDT,2020-10-28,15:30:37,Photo,7,6,0,1,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10150193902616383/10158996614051383/?type=3,,,Timeline photos,,
Entertainment before Wade Bowen tonight.,https://www.facebook.com/213344666382/posts/10160265043326383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5510.0,5863.0,2022-06-18 09:03:13 EDT,2022-06-18,09:03:13,Photo,2,2,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160265043096383/?type=3,,"UNA IWATER Saturday June 18th 2022 8pm 100TH ANNUAL FREESTONE COUNTY FAIR & RODEO 843 E. Commerce Street Fairfield, TX VIP Tables available for purchase, contact Shelby Griffin 903-644-0606",,,
"Samaritan's Purse is now looking for donations on its ""Operation Christmas"" project. For more information, contact Ruby Thornburg, drop-off leader, at 903-389-8643. https://www.fairfield-recorder.com/news/operation-christmas-school-kids",https://www.facebook.com/213344666382/posts/10158960901336383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5068.0,5224.0,2020-10-14 15:25:29 EDT,2020-10-14,15:25:29,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.fairfield-recorder.com/news/operation-christmas-school-kids,,,Operation Christmas' on for school kids,"As the COVID-19 pandemic continues to cause fear and uncertainty, Samaritan’s Purse is calling on churches and families to pack more shoebox gifts than ever before for “Operation Christmas Child,”",
Wade Bowen will conclude the 100th Annual Freestone County Fair and Rodeo tonight from 10 p.m. - 12 a.m.,https://www.facebook.com/213344666382/posts/10160265036481383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5510.0,5863.0,2022-06-18 08:56:47 EDT,2022-06-18,08:56:47,Photo,21,14,2,1,4,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160265035186383/?type=3,,"The 100TH Annual Freestone County Fair presents... SATURDAY JUNE 18TH 2022 Rodeo NOL FREE ADMISSION 10pm- 12am W ALL AGES SHOW WADE BOWEN 843 E. Commerce Street, Falrfield, TX VIP Tables for purchase, contact Shelby Griffin 903-644-0606",,,
The Fairfield Lady Eagles' volleyball season ended in four sets last night. More information here: https://www.fairfield-recorder.com/lady-eagles-season-ends-bi-districts,https://www.facebook.com/213344666382/posts/10159001399981383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5075.0,5232.0,2020-10-30 14:28:40 EDT,2020-10-30,14:28:40,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,https://www.fairfield-recorder.com/lady-eagles-season-ends-bi-districts,,,Lady Eagles' season ends in Bi-Districts,"Despite a sparkling regular season in which the team picked up over 20 victories, with just one loss in district play, the Fairfield Lady Eagles' 2020 volleyball campaign came to an end Thursday ni",
2022 Freestone County Fair Breeding Swine Results Grand Champion Breeding Swine Ava Thompson - Fairfield 4-H Reserve Champion Breeding Swine Andrew Tucker - Teague FFA Champion Breeding Swine Sr. Showman Andrew Tucker - Teague FFA Reserve Breeding Swine Sr. Showman Ava Thompson - Fairfield 4-H Champion Breeding Swine Jr. Showman Eli Gilbert - Teague FFA Reserve Breeding Swine Jr. Showman Tripp Petty - Fairfield FFA,https://www.facebook.com/213344666382/posts/10160260396531383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5501.0,5853.0,2022-06-15 11:33:38 EDT,2022-06-15,11:33:38,Status,22,18,0,0,4,0,0,0,0,0,,-,0,0,0,,,,,,,,,
2022 Freestone County Fair Market Goats Results Grand Champion Market Goat Kenna Coufal - Fairfield 4-H Reserve Champion Market Goat Cade Nelson - Fairfield FFA Champion Market Goat Sr. Showmanship Cole Coufal - Fairfield FFA Reserve Market Goat Sr. Showmanship Ellie Grissett - Fairfield 4-H Champion Market Goat Jr. Showmanship Kenna Coufal - Fairfield 4-H Reserve Market Goat Jr. Showmanship Lexie Chapman - Wortham 4-H,https://www.facebook.com/213344666382/posts/10160262407456383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5509.0,5861.0,2022-06-16 16:55:12 EDT,2022-06-16,16:55:12,Photo,17,14,0,1,2,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160262406636383/?type=3,,,,,
"The City of Fairfield will have a free dump day on Saturday, Oct. 31 from 8 a.m. to 5 p.m. Residents will need to pick up a free dump pass at Fairfield City Hall, 425 W. Commerce St. for the Free Dump Day. The regular dump rules still apply.",https://www.facebook.com/213344666382/posts/10158980236841383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5072.0,5229.0,2020-10-22 11:38:46 EDT,2020-10-22,11:38:46,Status,7,6,0,1,0,0,0,0,0,0,,-,0,0,0,,,,,,,,,
Tonight at the Freestone County Fair and Rodeo,https://www.facebook.com/213344666382/posts/10160263388106383,The Fairfield Recorder,1876TheFairfieldRecorder,213344666382,BROADCASTING_MEDIA_PRODUCTION,US,"Established in 1876, The Fairfield Recorder is the oldest newspaper in Freestone County with the largest paid circulation.",2009-12-01 19:49:06,5509.0,5861.0,2022-06-17 08:13:11 EDT,2022-06-17,08:13:11,Photo,9,5,0,4,0,0,0,0,0,0,,-,0,0,0,,,,https://www.facebook.com/1876TheFairfieldRecorder/photos/a.10152900228011383/10160263387266383/?type=3,,"Freestone County Fair Rodeo presents... Lanky Moore 8pm 843 E. Commerce Street Fairfield, TX Age Show- Free Admission Tables Available, contact Shelby Griffin 903-64 1-0606 Friday June 17th 2022 10pm MICHAEL TWITTY",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"http://rochesterlavoz.com/category/local-news/ La Comisión de Equidad Racial y Estructural (RASE por sus siglas en inglés) será la anfitriona de una sesión para escuchar las experiencias de 6:00 a 7:30 p.m. el 14 de octubre. El grupo de trabajo de servicios humanos y sociales de RASE invita al público a compartir sus experiencias con las agencias que proveen asistencia financiera, asistencia de nutrición como SNAP, Medicaid y/o servicios de protección infantil o cuidado de crianza. La sesión le da a las personas la oportunidad de influir en las leyes y políticas locales. Los comisionados quieren saber: ¿qué políticas y prácticas funcionan bien? y ¿cuáles necesitan ser cambiadas?",https://www.facebook.com/231645603561681/posts/3543320559060819,La Voz Rochester,LaVozRochester,100063630546983,MEDIA_NEWS_COMPANY,US,News and Information for Rochester's Hispanic Community,2011-10-24 23:45:35,1727.0,1733.0,2020-10-12 14:41:31 EDT,2020-10-12,14:41:31,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,http://rochesterlavoz.com/category/local-news/,,,Local News Archives - Rochester La Voz,RASE Commission Wants to Hear About Experiences with Social Service Agencies Staff reports (Versión en español abajo.) The Commission on...,1
La ciudad selecciona a sus dos primeros inquilinos para la nueva Plaza Internacional La panadería Borinquen y la carnicería New Generation Meats han sido seleccionados como los primeros vendedores que ocuparán los quioscos de venta al por menor en la Plaza Internacional que está prevista abrir en octubre en la avenida Clinton Norte. http://rochesterlavoz.com/city-selects-two-anchor-tenants-for-new-international-plaza/,https://www.facebook.com/231645603561681/posts/3514621515264057,La Voz Rochester,LaVozRochester,100063630546983,MEDIA_NEWS_COMPANY,US,News and Information for Rochester's Hispanic Community,2011-10-24 23:45:35,1725.0,1728.0,2020-10-04 18:08:12 EDT,2020-10-04,18:08:12,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,http://rochesterlavoz.com/city-selects-two-anchor-tenants-for-new-international-plaza/,,,City Selects Two Anchor Tenants for New International Plaza - Rochester La Voz,"Staff reports (Versión en español abajo.) Borinquen Bakery and New Generation Meats have been selected as vendors for the retail kiosks that serve as anchor stores the International Plaza scheduled to open in October on North Clinton Ave. Both businesses will operate daily, year round. The announc...",
"Three organizations, one goal: Improve life on North Clinton Avenue. http://rochesterlavoz.com/c-a-r-e-coalition-works-to-strengthen-north-clinton-neighborhood/",https://www.facebook.com/231645603561681/posts/3520849067974635,La Voz Rochester,LaVozRochester,100063630546983,MEDIA_NEWS_COMPANY,US,News and Information for Rochester's Hispanic Community,2011-10-24 23:45:35,1726.0,1729.0,2020-10-06 16:25:07 EDT,2020-10-06,16:25:07,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,,,,http://rochesterlavoz.com/c-a-r-e-coalition-works-to-strengthen-north-clinton-neighborhood/,,,C.A.R.E. Coalition Works to Strengthen North Clinton Neighborhood - Rochester La Voz,Patti Singer pattisinger@minorityreporter.net The construction on La Marketa is not the only indication that things are different on North Clinton Avenue. Cooperation and collaboration among three organizations is designed to improve the quality of life by expanding health care to residents and pick...,
,https://www.facebook.com/231645603561681/posts/258583095489249,La Voz Rochester,LaVozRochester,100063630546983,MEDIA_NEWS_COMPANY,US,News and Information for Rochester's Hispanic Community,2011-10-24 23:45:35,1724.0,1726.0,2020-10-08 10:07:57 EDT,2020-10-08,10:07:57,Live Video Complete,2,2,0,0,0,0,0,0,0,0,owned,Yes,55,55,0,00:14:16,,,https://www.facebook.com/LaVozRochester/videos/258583095489249/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FLaVozRochester%2Fvideos%2F258583095489249%2F,,,,
